Symbol	Last Sale	Net Change	% Change	Market Cap	Volume					
HVT	$31.13 	0.48	1.57%	554722093	186156					
HWC	$49.52 	0.22	0.45%	4299647438	176664					
HWEL	$9.69 	0	0.00%	302812500	419					
HWKN	$39.65 	0.03	0.08%	837117881	29097					
HWM	$31.64 	0.29	0.93%	13517176950	1293053					
HXL	$51.94 	-0.06	-0.12%	4357473422	516077					
HY	$40.39 	-0.55	-1.34%	679638491	49293					
HYAC	$9.81 	0	0.00%	389334375	9490					
HYFM	$27.69 	-0.18	-0.65%	1232739472	294082					
HYPR	$7.90 	-1.2	-13.19%	530283684	275477					
HYT	$12.20 	0.08	0.66%	1487718545	229128					
HYZN	$7.27 	-0.14	-1.89%	1800377034	1635103					
HZO	$57.74 	-0.53	-0.91%	1262480134	127592					
HZON	$9.82 	-0.02	-0.20%	644437500	37361					
IAC	$129.94 	-3.33	-2.50%	11638328184	343901					
IART	$68.77 	-0.25	-0.36%	5824787297	162087					
IAS	$22.87 	0.22	0.97%	3520620447	702602					
IBCP	$23.90 	0.43	1.83%	508520276	103971					
IBKR	$81.44 	0.16	0.20%	7995221662	644981					
IBM	$132.63 	1.01	0.77%	97031229592	3445095					
IBOC	$42.29 	0.35	0.84%	2679799142	143983					
IBRX	$6.18 	-0.47	-7.07%	2457134226	6320735					
IBTX	$72.52 	-0.21	-0.29%	3113752079	75305					
ICE	$137.63 	-0.12	-0.09%	77541338764	1033524					
ICFI	$102.67 	-0.03	-0.03%	1937915449	38862					
ICHR	$45.76 	-1.48	-3.13%	1300071481	96949					
ICPT	$17.10 	-0.69	-3.88%	505253255	567069					
ICUI	$237.74 	-1.35	-0.57%	5049388151	46714					
ICVX	$21.98 	-0.53	-2.36%	858138874	26235					
IDA	$111.45 	1.21	1.10%	5630061585	174780					
IDCC	$72.75 	-0.59	-0.80%	2231824355	72096					
IDEX	$1.18 	-0.05	-4.07%	587263279	10517741					
IDT	$44.01 	-1.09	-2.42%	1133780075	94649					
IDXX	$651.28 	-3.56	-0.54%	55224381018	172837					
IDYA	$23.05 	-0.24	-1.03%	887363480	158126					
IEA	$8.90 	-0.26	-2.84%	426975569	517805					
IEP	$50.02 	0.18	0.36%	13935850011	575838					
IESC	$51.58 	-0.67	-1.28%	1067838303	13729					
IEX	$234.97 	1.35	0.58%	17865120380	171659					
IFF	$147.44 	2.23	1.54%	37530408795	694760					
IFN	$21.64 	0.07	0.33%	582215003	132787					
IGAC	$9.81 	-0.05	-0.51%	367875000	11513					
IGD	$6.29 	0	0.00%	507793801	410778					
IGMS	$29.46 	0.4	1.38%	956322006	216899					
IGR	$9.47 	0.08	0.85%	1104111978	236472					
IGT	$28.56 	-0.52	-1.79%	5860169280	676579					
IHC	$56.58 	-0.02	-0.04%	830307879	33185					
IHRT	$21.13 	-0.05	-0.24%	2996477819	206286					
III	$7.64 	-0.04	-0.52%	370259261	185920					
IIII	$9.80 	0	0.00%	334180000	4					
IIIN	$39.94 	-0.24	-0.60%	775154721	42375					
IIIV	$23.39 	-0.31	-1.31%	515485731	116346					
IIM	$16.84 	0.03	0.18%	792431763	40915					
IIPR	$261.46 	5.24	2.05%	6256294364	181931					
IIVI	$68.22 	-1.26	-1.81%	7240855314	519621					
IKNA	$13.35 	-0.93	-6.51%	479355700	81969					
ILMN	$380.07 	-4.59	-1.19%	59404941000	436251					
ILPT	$25.03 	0.42	1.71%	1634818306	309010					
IMGN	$7.37 	-0.12	-1.60%	1622180129	1710580					
IMGO	$25.33 	1.59	6.70%	849282427	119340					
IMKTA	$88.42 	0.32	0.36%	1679482726	129924					
IMRX	$16.68 	-1.62	-8.85%	439020919	129553					
IMVT	$7.82 	-0.02	-0.26%	639767705	466275					
IMXI	$15.98 	0.09	0.57%	617046750	177747					
INBK	$46.36 	-0.27	-0.58%	456838533	25280					
INBX	$43.84 	-1.22	-2.71%	1663946718	113838					
INCY	$73.30 	-0.68	-0.92%	16191282299	874737					
INDB	$81.24 	-0.06	-0.07%	3846704251	111462					
INDI	$11.88 	-0.12	-1.00%	1545216144	924568					
INDT	$79.25 	0.37	0.47%	806285617	12087					
INFN	$9.70 	-0.13	-1.32%	2044638983	880167					
INFU	$16.50 	-0.4	-2.37%	340715876	98027					
INGN	$33.56 	0.04	0.12%	762620729	124373					
INGR	$97.35 	1.54	1.61%	6477272980	328341					
INN	$9.70 	-0.08	-0.82%	1032572372	305999					
INNV	$4.62 	-0.09	-1.91%	626086290	3646532					
INO	$5.35 	-0.37	-6.47%	1125564442	6525700					
INS	$40.15 	-0.13	-0.32%	349327845	17091					
INSE	$12.56 	0.12	0.97%	313633549	165228					
INSG	$5.51 	-0.43	-7.24%	579246381	2412602					
INSM	$27.26 	-0.51	-1.84%	3226824346	331250					
INSP	$229.31 	-6.05	-2.57%	6273485682	189857					
INT	$27.07 	0.03	0.11%	1710002019	182965					
INTA	$25.00 	0	0.00%	1524727975	256621					
INTC	$51.76 	-0.18	-0.35%	2.10508E+11	19276915					
INTU	$649.78 	-2.99	-0.46%	1.83996E+11	955717					
INVA	$17.46 	-0.29	-1.63%	1213333829	223532					
INVE	$27.62 	-0.71	-2.51%	613352893	350244					
INVH	$44.59 	0.06	0.14%	26609915174	1869082					
IONQ	$17.07 	-1.23	-6.72%	3285754865	3896971					
IONS	$30.19 	-1	-3.21%	4263130353	836367					
IOSP	$91.89 	0.56	0.61%	2264852618	81862					
IOVA	$19.71 	-0.04	-0.20%	3092481616	1344538					
IP	$46.67 	0.34	0.73%	18073572097	2112361					
IPAR	$105.15 	1.42	1.37%	3336817482	129875					
IPAX	$9.69 	0	0.00%	319527750	1					
IPG	$37.84 	-0.05	-0.13%	14899699038	1386541					
IPGP	$170.87 	-1.04	-0.61%	9108884225	114475					
IPI	$44.78 	-0.45	-1.00%	601981122	88795					
IPOD	$10.27 	-0.01	-0.10%	590525000	276424					
IPOF	$10.23 	-0.05	-0.49%	1470562500	886601					
IPSC	$15.09 	0.01	0.07%	824538424	93730					
IPVI	$9.76 	0	0.00%	350750000	50					
IQI	$13.53 	-0.08	-0.59%	715517773	33676					
IQV	$280.61 	-1.45	-0.51%	53607594376	420076					
IR	$61.37 	0.16	0.26%	25013468436	1244126					
IRBT	$67.85 	-0.13	-0.19%	1829119705	264214					
IRDM	$41.73 	-0.06	-0.14%	5516805818	472856					
IRM	$52.77 	0.28	0.53%	15279527009	830433					
IRMD	$47.48 	0.33	0.70%	585986290	32643					
IRNT	$4.08 	-0.28	-6.42%	361972010	1073855					
IRT	$23.75 	0.02	0.08%	5247156138	1949140					
IRTC	$113.89 	-5.14	-4.32%	3351315409	337599					
IRWD	$11.82 	0.13	1.11%	1934348756	1277854					
ISBC	$15.06 	0.05	0.33%	3731058299	968248					
ISD	$15.92 	-0.03	-0.19%	529447046	98281					
ISEE	$16.00 	-0.44	-2.68%	1834260464	861275					
ISO	$8.41 	-0.46	-5.19%	327611104	126228					
ISRG	$364.54 	-0.04	-0.01%	1.30227E+11	931173					
IT	$332.84 	-2.74	-0.82%	27372432088	158116					
ITCI	$52.46 	-0.96	-1.80%	4273562252	910077					
ITGR	$86.11 	-0.48	-0.55%	2843254637	88723					
ITHX	$9.83 	0.05	0.51%	303378375	145283					
ITIC	$194.80 	-0.07	-0.04%	368974966	4297					
ITOS	$47.86 	1.18	2.53%	1688208519	210560					
ITRI	$67.07 	-0.11	-0.16%	3036409875	244260					
ITT	$102.30 	0.01	0.01%	8756880000	132936					
ITW	$245.71 	1.98	0.81%	77123632940	635803					
IVR	$2.85 	0	0.00%	888461166	4998528					
IVZ	$23.53 	-0.02	-0.09%	10852189345	2725709					
J	$140.20 	1.22	0.88%	18149363035	325646					
JACK	$86.23 	0.94	1.10%	1811982119	282115					
JAMF	$39.34 	-0.9	-2.24%	4683233251	419301					
JANX	$21.08 	0.82	4.05%	877170631	44461					
JBGS	$28.88 	0.08	0.28%	3746466346	373020					
JBHT	$203.79 	0.65	0.32%	21400781254	260287					
JBL	$70.72 	-0.58	-0.81%	10195420156	682001					
JBLU	$14.68 	0.12	0.82%	4668688034	5639054					
JBSS	$90.30 	0.96	1.08%	1035696392	20671					
JBT	$153.45 	-0.42	-0.27%	4874819088	83507					
JCIC	$9.75 	-0.005	-0.05%	420468750	760					
JEF	$39.13 	0.04	0.10%	9608807721	787206					
JELD	$26.00 	0.07	0.27%	2382221868	403403					
JFR	$10.05 	-0.02	-0.20%	572030603	264586					
JGH	$15.81 	0.16	1.02%	366434583	54260					
JJSF	$157.03 	-0.33	-0.21%	2997519289	42482					
JKHY	$167.38 	1.83	1.11%	12392987936	150649					
JLL	$268.80 	1.27	0.48%	13565908339	142529					
JNCE	$8.31 	-0.19	-2.24%	425834225	179562					
JNJ	$170.35 	0.68	0.40%	4.48463E+11	3187012					
JNPR	$35.43 	0.32	0.91%	11521166834	3582274					
JOAN	$10.28 	0.16	1.58%	423340361	265906					
JOBY	$7.37 	0.09	1.24%	4450701684	1965265					
JOE	$51.36 	0.05	0.10%	3024207717	85777					
JOFF	$9.70 	0	0.00%	501975000	72					
JOUT	$92.92 	-1.67	-1.77%	941019424	25075					
JPC	$9.53 	-0.01	-0.11%	989640544	153410					
JPM	$158.64 	0.48	0.30%	4.68823E+11	6342303					
JPS	$9.49 	-0.02	-0.21%	1943177667	313573					
JQC	$6.45 	-0.04	-0.62%	874679921	792850					
JRI	$15.57 	-0.14	-0.89%	427453798	145449					
JRO	$10.09 	0.01	0.10%	409060890	274837					
JRS	$12.45 	-0.05	-0.40%	359711264	253737					
JSPR	$8.90 	-0.1	-1.11%	336893800	91619					
JUGG	$9.82 	0.02	0.20%	338790000	30260					
JWN	$22.22 	0.07	0.32%	3539943926	3619976					
JYNT	$64.14 	0.3	0.47%	924471563	246712					
K	$63.95 	0.69	1.09%	21814803252	890546					
KAI	$231.17 	2.55	1.12%	2682511013	44043					
KAIR	$9.78 	0	0.00%	337410000	3249					
KALU	$96.27 	-0.93	-0.96%	1527099433	94328					
KAMN	$43.19 	0.24	0.56%	1202851563	88311					
KAR	$15.85 	0.05	0.32%	1920297414	673149					
KBAL	$10.19 	0	0.00%	372606236	139830					
KBH	$44.69 	0.52	1.18%	3909375419	1437480					
KBR	$47.39 	0.08	0.17%	6648121220	486116					
KDNY	$16.32 	-0.25	-1.51%	891255877	144185					
KDP	$36.37 	0.26	0.72%	51571263174	2509652					
KE	$21.63 	-0.17	-0.78%	542932705	94231					
KELYA	$17.42 	0	0.00%	686164045	98737					
KELYB	$17.08 	0	0.00%	672771635	124					
KEX	$59.64 	-0.11	-0.18%	3585020040	287191					
KEY	$23.19 	0.1	0.43%	21591241629	3963969					
KEYS	$206.89 	-1.04	-0.50%	37869658273	450834					
KFRC	$76.12 	-0.87	-1.13%	1630805461	111222					
KFY	$76.31 	-0.57	-0.74%	4152350807	164918					
KHC	$35.86 	0.43	1.21%	43894162651	3597513					
KIDS	$61.34 	-0.28	-0.45%	1207071829	67523					
KIII	$9.69 	0.01	0.10%	353079375	325					
KIM	$24.10 	0.07	0.29%	14855916198	2467223					
KIND	$8.83 	0.08	0.91%	3381515952	698490					
KINZ	$10.00 	0	0.00%	345000000	5852					
KKR	$76.73 	-0.52	-0.67%	44887758064	1671014					
KLAC	$432.15 	-8.02	-1.82%	65523518605	751911					
KLAQ	$9.80 	0.02	0.20%	352187500	37001					
KLR	$9.24 	0	0.00%	385148804	363913					
KLTR	$3.71 	-0.06	-1.59%	470704184	247904					
KMB	$139.79 	-0.01	-0.01%	47069630568	1187911					
KMI	$15.86 	0.04	0.25%	35916279766	8967615					
KMPH	$8.58 	-0.73	-7.84%	303040675	465726					
KMPR	$56.84 	0.37	0.66%	3618044705	235977					
KMT	$36.48 	0.17	0.47%	3051370548	234974					
KMX	$127.91 	0.42	0.33%	20705037671	1246892					
KNBE	$23.38 	-0.36	-1.52%	4007652937	805353					
KNSA	$12.13 	-0.36	-2.88%	835616717	1320454					
KNSL	$241.45 	9.72	4.20%	5509610125	229468					
KNTE	$18.10 	0.21	1.17%	790899320	371459					
KNX	$61.02 	0.11	0.18%	10126705232	701681					
KO	$58.88 	0.23	0.39%	2.54327E+11	8979931					
KOD	$91.26 	0.52	0.57%	4719719520	163578					
KODK	$4.80 	-0.12	-2.44%	377530560	1964926					
KOP	$31.38 	0.03	0.10%	668592165	40118					
KOPN	$4.02 	-0.35	-8.01%	370604628	1675609					
KPTI	$6.88 	-0.22	-3.10%	519766786	1611763					
KR	$44.42 	0.68	1.56%	32660052153	5230632					
KRA	$46.31 	0.03	0.07%	1488780178	188958					
KRC	$66.83 	-0.27	-0.40%	7783134275	489076					
KREF	$21.31 	-0.07	-0.33%	1296146015	231683					
KRG	$21.54 	-0.02	-0.09%	4717521302	849698					
KRNL	$9.73 	-0.03	-0.31%	370652188	3799					
KRNY	$13.26 	0.07	0.53%	995162629	191738					
KRO	$14.89 	-0.01	-0.07%	1720538264	109951					
KRON	$14.90 	-0.06	-0.40%	839574561	138945					
KROS	$56.67 	-2.02	-3.44%	1326001892	46005					
KRP	$13.73 	-0.06	-0.44%	824928029	115946					
KRT	$20.64 	0.54	2.69%	408660111	7985					
KRTX	$130.97 	-1.19	-0.90%	3879796998	80871					
KRUS	$77.58 	-0.99	-1.26%	753367665	42731					
KRYS	$69.78 	-0.28	-0.40%	1737954706	191333					
KSS	$49.20 	-1.6	-3.15%	6846576700	3477648					
KTF	$11.81 	-0.07	-0.59%	466506066	49941					
KTOS	$19.57 	-0.09	-0.46%	2426412772	666424					
KULR	$2.95 	-0.1	-3.28%	308974463	969022					
KURA	$15.06 	-0.37	-2.40%	1002329972	383991					
KVSA	$9.73 	0.02	0.21%	393967700	22115					
KVSC	$9.78 	-0.01	-0.10%	662661768	4016097					
KW	$23.70 	0.1	0.42%	3301036535	374801					
KWR	$234.42 	1.03	0.44%	4194824002	30403					
KYMR	$62.56 	0.6	0.97%	3214779228	183426					
KYN	$7.71 	0.01	0.13%	974910641	622057					
KZR	$16.22 	0.44	2.79%	862872079	880832					
L	$58.19 	0.47	0.81%	14761895934	360242					
LAD	$293.60 	-1.1	-0.37%	8890079110	190682					
LAMR	$120.09 	0.19	0.16%	12157849153	185686					
LANC	$165.10 	2.48	1.53%	4545203000	60766					
LAND	$33.27 	0.57	1.74%	1138167133	346836					
LANDM	$25.51 	-0.09	-0.35%	614852377	6474					
LASR	$24.53 	-0.57	-2.27%	1077373127	196548					
LAUR	$11.98 	-0.07	-0.58%	2170677968	1261782					
LAW	$35.21 	-1.73	-4.68%	2028968926	244171					
LAWS	$48.39 	0.9	1.90%	439301211	9157					
LAZR	$17.10 	-0.69	-3.88%	6016711437	5137173					
LBAI	$18.96 	0.06	0.32%	959496680	80711					
LBC	$14.31 	0.12	0.85%	739657985	18615					
LBRDA	$160.73 	1.5	0.94%	28381746636	169867					
LBRDK	$161.59 	1.36	0.85%	28533605668	520725					
LBRT	$10.25 	-0.2	-1.91%	1906678945	1037521					
LC	$24.78 	-0.79	-3.09%	2474849297	1925573					
LCA	$9.73 	-0.03	-0.31%	608125000	13184					
LCID	$36.98 	-1.66	-4.30%	60882649626	28377934					
LCII	$153.06 	0.64	0.42%	3868211452	88445					
LCTX	$2.46 	-0.15	-5.75%	368954114	1598719					
LCUT	$15.76 	-0.05	-0.32%	347006722	41231					
LDOS	$88.26 	0.39	0.44%	12386351561	391719					
LDP	$26.60 	-0.1	-0.38%	770546858	27019					
LE	$19.52 	-0.05	-0.26%	643834972	121957					
LEA	$182.72 	-1.65	-0.90%	10893138026	373095					
LEAP	$10.05 	0.0849	0.85%	459558581	364348					
LECO	$140.26 	0.72	0.52%	8282112454	97616					
LEG	$40.36 	0.43	1.08%	5383103711	826645					
LEGA	$9.81 	0	0.00%	423056250	51					
LEGH	$26.25 	0.11	0.42%	635500845	15900					
LEGN	$48.35 	-1.13	-2.28%	7389375079	513836					
LEN	$114.50 	1.03	0.91%	35434693766	1224797					
LEO	$8.45 	0	0.00%	526233991	104432					
LESL	$23.28 	-0.55	-2.31%	4248186035	886438					
LEU	$49.19 	-4.62	-8.59%	689511135	123582					
LEVI	$24.61 	-0.26	-1.05%	9894047117	738561					
LEVL	$39.50 	0.08	0.20%	301801488	12591					
LFG	$17.66 	-0.3	-1.67%	1025643158	313014					
LFST	$9.94 	-0.43	-4.15%	3719037561	549276					
LFUS	$315.02 	0.91	0.29%	7759581146	56007					
LGIH	$151.46 	1.31	0.87%	3676417509	115424					
LGND	$157.70 	-2.32	-1.45%	2635425786	80686					
LGTO	$9.86 	0.11	1.13%	354082460	99810					
LH	$307.00 	0.19	0.06%	29379900000	429333					
LHCG	$137.90 	0.96	0.70%	4367458480	244279					
LHDX	$8.05 	-0.21	-2.54%	315757636	290741					
LHX	$212.16 	1.83	0.87%	41631195503	537073					
LIAN	$6.36 	-0.41	-6.06%	682039468	172822					
LIDR	$5.43 	-0.19	-3.38%	841096542	282540					
LII	$322.85 	1.82	0.57%	11815233295	120197					
LILA	$11.68 	0.08	0.69%	2707897274	236325					
LILAK	$11.44 	0.02	0.18%	2652255549	351773					
LIND	$17.40 	0.14	0.81%	873483010	189589					
LITE	$106.19 	-0.8	-0.75%	7677537000	465225					
LKFN	$79.52 	0.06	0.08%	2011790635	55339					
LKQ	$58.81 	0.18	0.31%	17142596472	552263					
LL	$17.35 	0.11	0.64%	504680062	339184					
LLNW	$3.67 	0.01	0.27%	491089578	1925148					
LLY	$276.43 	-1.98	-0.71%	2.64431E+11	1033882					
LMACA	$10.28 	-0.01	-0.10%	738875000	38089					
LMAT	$50.92 	-0.94	-1.81%	1111995696	53912					
LMND	$40.66 	-1.9	-4.46%	2506427678	1964686					
LMT	$353.75 	3.47	0.99%	97559453150	827490					
LNC	$68.58 	-0.24	-0.35%	12393001754	707846					
LNDC	$11.24 	0.1	0.90%	331149620	56734					
LNG	$103.80 	0.37	0.36%	26322481421	723755					
LNN	$152.73 	-0.21	-0.14%	1671967078	21652					
LNT	$60.68 	0.69	1.15%	15191892555	475288					
LNTH	$30.02 	-0.08	-0.27%	2032071392	563857					
LOB	$88.78 	1.89	2.18%	3853155251	337526					
LOCO	$14.04 	-0.08	-0.57%	513315963	142445					
LOGI	$84.28 	-0.62	-0.73%	14114725576	433313					
LOPE	$85.43 	-0.41	-0.48%	3423488331	273276					
LOVE	$67.29 	-0.67	-0.99%	1017632322	139226					
LOW	$254.02 	0.32	0.13%	1.71145E+11	1531471					
LPI	$64.56 	-3.44	-5.06%	1102081164	658114					
LPLA	$161.28 	-1.27	-0.78%	12926167027	213068					
LPRO	$23.07 	-1.02	-4.23%	2668043401	929603					
LPSN	$36.18 	0.15	0.42%	2624523756	913461					
LPX	$78.09 	-0.79	-1.00%	6871073661	653040					
LQDT	$21.16 	-0.8	-3.64%	750990745	107560					
LRCX	$716.10 	-7.3	-1.01%	1.00826E+11	781648					
LRN	$33.24 	-0.49	-1.45%	1421566404	150754					
LSCC	$78.13 	-1.41	-1.77%	10699098605	648822					
LSEA	$7.21 	-0.13	-1.77%	333686666	125374					
LSI	$150.19 	0.74	0.50%	12318759823	487891					
LSTR	$177.74 	1.83	1.04%	6773420076	127571					
LSXMA	$50.71 	0.36	0.72%	16757933497	231852					
LSXMB	$50.49 	-1.0498	-2.04%	16685230965	282					
LSXMK	$50.56 	0.42	0.84%	16708363589	508262					
LTC	$33.81 	0.29	0.87%	1331236428	191210					
LTCH	$7.57 	-0.17	-2.20%	1076603250	606867					
LTHM	$24.98 	-0.8	-3.10%	4036143900	1319247					
LTRPB	$17.12 	-1.8794	-9.89%	1292788238	2998					
LTRY	$6.64 	0.17	2.63%	334526387	391005					
LUMN	$12.76 	-0.06	-0.47%	13064889558	5440138					
LUNG	$32.55 	-0.09	-0.28%	1199099620	128823					
LUV	$42.29 	0.53	1.27%	25032292867	6560980					
LUXA	$9.82 	-0.0345	-0.35%	423487500	13662					
LVLU	$10.15 	-0.33	-3.15%	389974409	163410					
LVOX	$4.99 	-0.11	-2.16%	490221228	97932					
LVS	$37.65 	-0.22	-0.58%	28764214163	5098852					
LWLG	$14.94 	-1.88	-11.18%	1625931510	1773393					
LXP	$15.66 	0.17	1.10%	4428920985	883706					
LXRX	$4.19 	-0.18	-4.12%	623873012	512779					
LXU	$10.95 	0.02	0.18%	972628001	311780					
LYEL	$7.85 	0.16	2.08%	1887701251	1544330					
LYFT	$43.52 	-0.51	-1.16%	14828401700	3401926					
LYLT	$29.58 	-0.26	-0.87%	727231310	332214					
LYV	$120.09 	-0.1	-0.08%	26979419040	1546329					
LZ	$16.78 	0.46	2.82%	3306478495	727517					
LZB	$36.02 	-0.04	-0.11%	1581489005	194439					
M	$26.05 	0.24	0.93%	7795968287	16388414					
MA	$360.78 	0.47	0.13%	3.54487E+11	1920089					
MAA	$225.70 	1.07	0.48%	25986719501	373366					
MAC	$17.23 	0.01	0.06%	3670638882	1995247					
MAIN	$44.44 	0.02	0.05%	3092277008	332213					
MAN	$97.80 	1.2	1.24%	5304661535	170876					
MANH	$157.49 	-1.04	-0.66%	9966256352	143694					
MANT	$73.46 	0.33	0.45%	2992694433	78061					
MAPS	$6.17 	-0.15	-2.37%	405229317	590116					
MAR	$166.75 	0.04	0.02%	54307656925	1297184					
MARA	$35.14 	-4.26	-10.81%	3606440233	12476795					
MAS	$69.57 	0.35	0.51%	16981166888	632199					
MASI	$294.00 	-0.72	-0.24%	16235176566	132467					
MASS	$24.78 	-0.08	-0.32%	769417315	129200					
MAT	$20.97 	-0.14	-0.66%	7346655866	1660804					
MATW	$36.57 	0.17	0.47%	1150861996	75961					
MATX	$86.58 	2.21	2.62%	3639127703	232562					
MBI	$12.47 	0.16	1.30%	678445987	285013					
MBIN	$48.06 	0.13	0.27%	1383425074	28619					
MBUU	$67.58 	0.13	0.19%	1408346047	63210					
MBWM	$35.32 	0.02	0.06%	553490184	24063					
MCA	$15.61 	0.09	0.58%	537073242	60335					
MCBC	$8.84 	-0.01	-0.11%	302237823	47199					
MCBS	$27.59 	-0.1	-0.36%	702585861	15343					
MCD	$267.88 	-0.36	-0.13%	2.00172E+11	1303958					
MCFE	$25.73 	-0.04	-0.16%	4705240572	975438					
MCFT	$27.12 	0.05	0.19%	513808577	51503					
MCHP	$88.03 	-1.32	-1.48%	48845268777	3334804					
MCI	$15.88 	-0.11	-0.69%	321756098	27685					
MCK	$246.49 	1.15	0.47%	37634627097	460095					
MCO	$399.42 	-0.05	-0.01%	74252178000	320737					
MCR	$8.59 	-0.08	-0.92%	381410423	46544					
MCRB	$8.77 	-0.02	-0.23%	805499391	639944					
MCRI	$73.81 	-0.46	-0.62%	1382931986	22927					
MCS	$17.91 	-0.03	-0.17%	562724373	131892					
MCY	$52.24 	0.14	0.27%	2892569965	120787					
MD	$27.20 	-0.19	-0.69%	2351507048	236784					
MDB	$542.08 	-17.11	-3.06%	36185523158	394990					
MDC	$54.51 	0.21	0.39%	3852733440	203140					
MDGL	$82.36 	-3.4	-3.97%	1408116332	74955					
MDLZ	$66.01 	0.49	0.75%	92082110433	3254938					
MDRX	$18.26 	-0.13	-0.71%	2238173156	1203452					
MDT	$104.53 	0.1	0.10%	1.40547E+11	7488162					
MDU	$30.38 	0.58	1.95%	6177795481	857288					
MDXG	$6.02 	-0.21	-3.37%	675109553	507426					
ME	$6.79 	0.01	0.15%	2970384872	3028168					
MED	$207.79 	0.26	0.13%	2413737055	44596					
MEDP	$218.30 	-9.6	-4.21%	7845525395	114973					
MEG	$72.09 	-0.78	-1.07%	2126035026	166878					
MEI	$48.90 	0.3	0.62%	1822449455	122160					
MEIP	$2.53 	0.08	3.27%	336100916	663593					
MEKA	$12.98 	1.23	10.47%	385830500	73469					
MET	$62.61 	0.12	0.19%	52665039684	3663023					
METC	$12.27 	-0.15	-1.21%	541221921	199261					
MFA	$4.64 	-0.03	-0.64%	2045900338	2501141					
MFL	$14.38 	0.03	0.21%	544947471	33236					
MGEE	$79.41 	0.08	0.10%	2871733212	36952					
MGI	$7.43 	-0.17	-2.24%	681244894	1594630					
MGLN	$94.86 	0.01	0.01%	2497860445	82947					
MGM	$44.22 	-0.99	-2.19%	20737404257	4322851					
MGNI	$17.58 	-0.49	-2.71%	2317270202	1059487					
MGNX	$16.26 	-0.5	-2.98%	996055096	237228					
MGP	$39.99 	-0.08	-0.20%	6264866752	753449					
MGPI	$87.20 	0.76	0.88%	1915286611	144597					
MGRC	$79.81 	-0.085	-0.11%	1935118592	46742					
MGTX	$23.14 	0.61	2.71%	1028541159	286409					
MGY	$19.34 	-0.32	-1.63%	3516042944	610680					
MHD	$16.98 	0.02	0.12%	905998260	37530					
MHK	$175.81 	1.2	0.69%	11908028497	341334					
MHN	$14.30 	0.06	0.42%	445187929	46305					
MHO	$61.20 	-0.02	-0.03%	1780897356	174011					
MIC	$3.63 	0	0.00%	319163862	1105879					
MIDD	$196.44 	1.27	0.65%	10927235676	169516					
MIN	$3.57 	0.01	0.28%	413982744	322541					
MIR	$10.70 	0	0.00%	2226497002	561881					
MIRM	$15.93 	0.25	1.59%	488066430	91361					
MITK	$17.31 	0.22	1.29%	772416825	227229					
MIY	$15.11 	0.03	0.20%	445889074	11787					
MKC	$94.96 	0.83	0.88%	25384478726	804080					
MKFG	$5.50 	0.05	0.92%	1022180935	471835					
MKL	$1,228.76 	10.54	0.87%	16794996412	25597					
MKSI	$174.97 	-1.76	-1.00%	9703645658	289076					
MKTX	$414.18 	0.57	0.14%	15749808729	95160					
ML	$3.68 	-0.09	-2.39%	844132660	679063					
MLAB	$330.87 	-1.54	-0.46%	1728872512	10372					
MLI	$59.44 	-0.09	-0.15%	3409877183	124586					
MLKN	$38.61 	0.36	0.94%	2925619391	377997					
MLM	$439.46 	0.87	0.20%	27414345819	206095					
MLR	$32.94 	0.1	0.31%	375869380	18708					
MMAT	$2.58 	-0.12	-4.44%	725649820	6117244					
MMC	$173.77 	-0.12	-0.07%	87735667924	863819					
MMD	$21.59 	-0.03	-0.14%	599882792	51870					
MMM	$177.64 	0.94	0.53%	1.02366E+11	1618834					
MMP	$44.88 	-0.32	-0.71%	9579422281	676335					
MMS	$79.85 	0.99	1.26%	4947048220	342247					
MMSI	$64.25 	0.25	0.39%	3627456312	377109					
MMT	$6.43 	-0.11	-1.68%	387912692	56726					
MMU	$13.08 	-0.05	-0.38%	567251491	61136					
MNDT	$17.72 	-0.05	-0.28%	4252578252	1358608					
MNKD	$4.42 	-0.05	-1.12%	1110553080	1806592					
MNR	$20.98 	-0.06	-0.29%	2066244294	312390					
MNRO	$59.21 	-0.01	-0.02%	1985936084	116659					
MNST	$94.70 	-0.1	-0.11%	50109474191	1068579					
MNTK	$11.00 	0.08	0.73%	1551167343	79725					
MNTS	$4.38 	-0.21	-4.58%	323483503	491974					
MNTV	$21.19 	0.1	0.47%	3155860689	619317					
MO	$47.38 	0.59	1.26%	87036530386	5457066					
MOD	$9.96 	-0.02	-0.20%	516461886	116403					
MODN	$30.33 	-0.04	-0.13%	1093761188	107629					
MODV	$149.98 	-1.12	-0.74%	2099685055	41208					
MOFG	$32.55 	0.33	1.02%	510766495	26222					
MOH	$322.89 	0.56	0.17%	18856776000	90040					
MON	$9.76 	0.0084	0.09%	305000000	3570					
MORF	$48.91 	-0.89	-1.79%	1807792736	118835					
MORN	$345.61 	-1	-0.29%	14894233336	113793					
MOS	$39.86 	-0.14	-0.35%	14764559660	2743803					
MOV	$41.29 	-0.53	-1.27%	946134957	148541					
MPAA	$17.56 	0.41	2.39%	337233075	88503					
MPB	$31.82 	-0.16	-0.50%	507650966	28330					
MPC	$64.37 	0.29	0.45%	39625379026	4774683					
MPLX	$29.06 	-0.27	-0.92%	29637237320	1169214					
MPW	$23.05 	0.14	0.61%	13744715000	2196167					
MPWR	$498.08 	-13.01	-2.55%	22958001440	157756					
